[147456241856, 216269217792]
[162201653248, 216269217792]
[167116816384, 216269217792]
[167116918960, 216269217792]
[167116968040, 216269217792]
[167117000896, 216269217792]
[167117009088, 216269217792]
[167117013184, 216269217792]
[167117029480, 216269217792]
[167117054056, 216269217792]
[167117062320, 216269217792]
[167117070512, 216269217792]
[167117090992, 216269217792]
[167117160552, 216269217792]
[167117172840, 216269217792]
[167117172928, 216269217792]
[167117254848, 216269217792]
[167117262952, 216269217792]
[167117275328, 216269217792]
[167117324464, 216269217792]
[167117418688, 216269217792]
[167117488304, 216269217792]
[167117713632, 216269217792]
[167117942976, 216269217792]
[167117951168, 216269217792]
[172032135360, 216269217792]
[172032151728, 216269217792]
[172032151744, 216269217792]
[172032168112, 216269217792]
[172032213168, 216269217792]
[172032245936, 216269217792]
[172032250032, 216269217792]
[172032254128, 216269217792]
[172032262320, 216269217792]
[172032270440, 216269217792]
[172032315496, 216269217792]
[172032319592, 216269217792]
[172032323688, 216269217792]
[172032331968, 216269217792]
[172032348264, 216269217792]
[172032397312, 216269217792]
[172032405608, 216269217792]
[172032409776, 216269217792]
[172032508080, 216269217792]
[172032512176, 216269217792]
[172032565352, 216269217792]
[172032688304, 216269217792]
[172032741376, 216269217792]
[172032827392, 216269217792]
[172032852072, 216269217792]
[172032917608, 216269217792]
[172033118312, 216269217792]
[172033122408, 216269217792]
[172033130600, 216269217792]
[172033790176, 216269217792]
[172034162912, 216269217792]
[172034171104, 216269217792]
[176947236864, 216269217792]
[176947339368, 216269217792]
[176947355824, 216269217792]
[176947359848, 216269217792]
[176947359920, 216269217792]
[176947363944, 216269217792]
[176947368040, 216269217792]
[176947368112, 216269217792]
[176947404976, 216269217792]
[176947404992, 216269217792]
[176947413184, 216269217792]
[176947437760, 216269217792]
[176947445952, 216269217792]
[176947449856, 216269217792]
[176947454144, 216269217792]
[176947470512, 216269217792]
[176947503104, 216269217792]
[176947503280, 216269217792]
[176947511400, 216269217792]
[176947511472, 216269217792]
[176947523760, 216269217792]
[176947540144, 216269217792]
[176947650736, 216269217792]
[176947650752, 216269217792]
[176947712176, 216269217792]
[176947716136, 216269217792]
[176947798208, 216269217792]
[176947962048, 216269217792]
[176947966144, 216269217792]
[176948113600, 216269217792]
[176948121792, 216269217792]
[176948343008, 216269217792]
[176948949016, 216269217792]
[181862416384, 216269217792]
[181862514688, 216269217792]
[181862514864, 216269217792]
[181862609072, 216269217792]
[181862613096, 216269217792]
[181862613184, 216269217792]
[181862625384, 216269217792]
[181862625472, 216269217792]
[181862641768, 216269217792]
[181862670440, 216269217792]
[181862686912, 216269217792]
[181862690920, 216269217792]
[181862699112, 216269217792]
[181862797416, 216269217792]
[181862813872, 216269217792]
[181862981736, 216269217792]
[181863014504, 216269217792]
[181863034984, 216269217792]
[181863190752, 216269217792]
[181863333928, 216269217792]
[181863526440, 216269217792]
[186777747456, 216269217792]
[186777763848, 216269217792]
[186777837592, 216269217792]
[186778939616, 216269217792]
[186779029728, 216269217792]
[191692922880, 216269217792]
[191693070336, 216269217792]
[191693115400, 216269217792]
[191693135880, 216269217792]
[196608475144, 216269217792]
[196608507912, 216269217792]
[196608561160, 216269217792]
[196608598024, 216269217792]
[196608782336, 216269217792]
[196608786432, 216269217792]
[196608831488, 216269217792]
[201523843072, 216269217792]
[201523888128, 216269217792]
[201523904512, 216269217792]
[201523933184, 216269217792]
[201523941376, 216269217792]
[201524420632, 216269217792]
[206438690824, 216269217792]
[206438703112, 216269217792]
[206438752264, 216269217792]
[206438764552, 216269217792]
[211353604200, 216269217792]
[211353796608, 216269217792]
[211353804800, 216269217792]
[211353821184, 216269217792]
[211353825280, 216269217792]
[211353845760, 216269217792]
[211353870336, 216269217792]
[211353927680, 216269217792]
[211353980928, 216269217792]
[211354284032, 216269217792]
[211354378240, 216269217792]
[216268926976, 216269217792]
[216268959744, 216269217792]
[216268976128, 216269217792]
[216269139968, 216269217792]
[216269217792, 221184065536]
[216269217792, 221184077824]
[216269217792, 221184094208]
[216269217792, 221184135168]
[216269217792, 221184139272]
[216269217792, 221184307200]
[216269217792, 221184438272]
[216269217792, 221184446464]
[216269217792, 221184655520]
[216269217792, 221184667808]
[216269217792, 221184700576]
[216269217792, 221184704672]
[216269217792, 221184737424]
[216269217792, 221184741520]
[216269217792, 221184778384]
[216269217792, 221184794768]
[216269217792, 221184802960]
[216269217792, 221184864400]
[216269217792, 221184905360]
[216269217792, 221184913552]
[216269217792, 221184954512]
[216269217792, 221184958608]
[216269217792, 221184991376]
[216269217792, 226099322880]
[216269217792, 226099331072]
[216269217792, 226099425280]
[216269217792, 226099458048]
[216269217792, 226099539968]
[216269217792, 226099585032]
[216269217792, 226099622032]
[216269217792, 226099654800]
[216269217792, 226099679376]
[216269217792, 231014432928]
[216269217792, 231014625288]
[216269217792, 231014641672]
[216269217792, 231014658208]
[216269217792, 231014686880]
[216269217792, 231014694912]
[216269217792, 231014707208]
[216269217792, 231014715392]
[216269217792, 231014715400]
[216269217792, 231014735872]
[216269217792, 231014789120]
[216269217792, 231014805504]
[216269217792, 231014817800]
[216269217792, 231014887424]
[216269217792, 231014985872]
[216269217792, 231014998160]
[216269217792, 231015026832]
[216269217792, 231015043216]
[216269217792, 231015075840]
[216269217792, 231015104656]
[216269217792, 231015108608]
[216269217792, 231015428096]
[216269217792, 231015534592]
[216269217792, 231015972864]
[216269217792, 235929661440]
[216269217792, 235929702408]
[216269217792, 235929804800]
[216269217792, 235929952416]
[216269217792, 235930108064]
[216269217792, 235930157216]
[216269217792, 235930386576]
[216269217792, 235930407056]
[216269217792, 235930419344]
[216269217792, 235930497168]
[216269217792, 235930517648]
[216269217792, 235930529936]
[216269217792, 235930542224]
[216269217792, 235930574992]
[216269217792, 235930611856]
[216269217792, 240844853392]
[216269217792, 240844984328]
[216269217792, 240845000712]
[216269217792, 240845009056]
[216269217792, 240845013152]
[216269217792, 240845025440]
[216269217792, 240845037576]
[216269217792, 240845049864]
[216269217792, 240845062304]
[216269217792, 240845066400]
[216269217792, 240845238416]
[216269217792, 240845287568]
[216269217792, 240845299856]
[216269217792, 240845476088]
[216269217792, 245760221328]
[216269217792, 245760245904]
[216269217792, 245760266384]
[216269217792, 245760270480]
[216269217792, 250675708024]
[216269217792, 250676158624]
[216269217792, 250676199584]
[216269217792, 250676248736]
[216269217792, 250676478096]
[216269217792, 250676482192]
[216269217792, 250676510864]
[216269217792, 250676539536]
[216269217792, 250676560016]
[216269217792, 250676580496]
[216269217792, 250676629648]
[216269217792, 250676682896]
[216269217792, 250676691088]
[216269217792, 250676699280]
[216269217792, 250676703376]
[216269217792, 255590600864]
[216269217792, 255590629536]
