[57464, 98304339968]
[151776, 98304339968]
[159968, 98304339968]
[176256, 98304339968]
[176320, 98304339968]
[196680, 98304339968]
[245952, 98304339968]
[262336, 98304339968]
[294952, 98304339968]
[323688, 98304339968]
[376904, 98304339968]
[389208, 98304339968]
[520368, 98304339968]
[524344, 98304339968]
[528632, 98304339968]
[561240, 98304339968]
[589928, 98304339968]
[655552, 98304339968]
[680128, 98304339968]
[823488, 98304339968]
[839688, 98304339968]
[864256, 98304339968]
[872688, 98304339968]
[913568, 98304339968]
[925752, 98304339968]
[98304339968, 991392]
[1032440, 98304339968]
[1126560, 98304339968]
[1286144, 98304339968]
[1351856, 98304339968]
[1523904, 98304339968]
[1630384, 98304339968]
[1908896, 98304339968]
[2015424, 98304339968]
[2277536, 98304339968]
[2441224, 98304339968]
[2445320, 98304339968]
[2490512, 98304339968]
[2564240, 98304339968]
[2703504, 98304339968]
[2797576, 98304339968]
[2822288, 98304339968]
[2990224, 98304339968]
[3096720, 98304339968]
[3149896, 98304339968]
[3162120, 98304339968]
[3215368, 98304339968]
[3309712, 98304339968]
[3330056, 98304339968]
[3895304, 98304339968]
[3907592, 98304339968]
[4059280, 98304339968]
[4165640, 98304339968]
[4362248, 98304339968]
[4714504, 98304339968]
[4796424, 98304339968]
[4841480, 98304339968]
[4849672, 98304339968]
[4870288, 98304339968]
[4882576, 98304339968]
[4902920, 98304339968]
[4907016, 98304339968]
[4911112, 98304339968]
[5066896, 98304339968]
[5107856, 98304339968]
[5148816, 98304339968]
[5161104, 98304339968]
[4915220640, 98304339968]
[4915236864, 98304339968]
[4915236872, 98304339968]
[4915265536, 98304339968]
[4915310816, 98304339968]
[4915384424, 98304339968]
[4915413096, 98304339968]
[4915425384, 98304339968]
[4915445968, 98304339968]
[4915449944, 98304339968]
[4915499232, 98304339968]
[4915523808, 98304339968]
[4915527888, 98304339968]
[4915536016, 98304339968]
[4915577056, 98304339968]
[4915613904, 98304339968]
[4915663040, 98304339968]
[4915671232, 98304339968]
[4915707912, 98304339968]
[4915712144, 98304339968]
[4915724448, 98304339968]
[4915749024, 98304339968]
[4915994816, 98304339968]
[4915998912, 98304339968]
[4916109504, 98304339968]
[4916813968, 98304339968]
[4916838560, 98304339968]
[4916846736, 98304339968]
[4916920328, 98304339968]
[4917100552, 98304339968]
[4917272720, 98304339968]
[4917325832, 98304339968]
[4917583880, 98304339968]
[4917600400, 98304339968]
[4917719200, 98304339968]
[4917797008, 98304339968]
[4917956752, 98304339968]
[4918075400, 98304339968]
[4918124552, 98304339968]
[4918132880, 98304339968]
[4918182048, 98304339968]
[4918374408, 98304339968]
[4918562824, 98304339968]
[4918599688, 98304339968]
[4918648840, 98304339968]
[4918845600, 98304339968]
[4918861984, 98304339968]
[4918866080, 98304339968]
[4918870176, 98304339968]
[4918882448, 98304339968]
[4918886560, 98304339968]
[4918898848, 98304339968]
[9830404104, 98304339968]
[9830404272, 98304339968]
[9830408400, 98304339968]
[98304339968, 9830453288]
[98304339968, 9830481960]
[98304339968, 9830486056]
[98304339968, 9830551640]
[98304339968, 9830584424]
[98304339968, 9830592672]
[98304339968, 9830604800]
[98304339968, 9830662184]
[98304339968, 9830748264]
[98304339968, 9830752360]
[98304339968, 9830764704]
[98304339968, 9830813904]
[98304339968, 9830883536]
[98304339968, 9830912160]
[98304339968, 9830949040]
[98304339968, 9831100520]
[98304339968, 9831178416]
[98304339968, 9831497904]
[98304339968, 9831506096]
[98304339968, 9831514216]
[98304339968, 9831587944]
[98304339968, 9831821488]
[98304339968, 9831825584]
[14745636888, 98304339968]
[14745743504, 98304339968]
[14745751712, 98304339968]
[14745755872, 98304339968]
[14745768128, 98304339968]
[14745825384, 98304339968]
[14745874432, 98304339968]
[14745923760, 98304339968]
[14745972824, 98304339968]
[14746099720, 98304339968]
[14746300592, 98304339968]
[14746349744, 98304339968]
[19660849312, 98304339968]
[19660853440, 98304339968]
[19660857384, 98304339968]
[19660865760, 98304339968]
[19660877952, 98304339968]
[19660878016, 98304339968]
[19660906552, 98304339968]
[19660914912, 98304339968]
[19660918976, 98304339968]
[19660927168, 98304339968]
[19660955736, 98304339968]
[19660968040, 98304339968]
[19661013096, 98304339968]
[19661082832, 98304339968]
[19661091040, 98304339968]
[19661123744, 98304339968]
[19661262856, 98304339968]
[19661590720, 98304339968]
[19661758688, 98304339968]
[19661832416, 98304339968]
