[4240, 49152221184]
[12432, 49152221184]
[16392, 49152221184]
[28816, 49152221184]
[28832, 49152221184]
[41080, 49152221184]
[45200, 49152221184]
[49152221184, 61512]
[49152221184, 65680]
[49152221184, 77968]
[49152221184, 81920]
[49152221184, 86264]
[110832, 49152221184]
[114928, 49152221184]
[127216, 49152221184]
[131072, 49152221184]
[131144, 49152221184]
[135416, 49152221184]
[147512, 49152221184]
[159968, 49152221184]
[200864, 49152221184]
[208896, 49152221184]
[221256, 49152221184]
[233592, 49152221184]
[237624, 49152221184]
[237696, 49152221184]
[254040, 49152221184]
[262248, 49152221184]
[270496, 49152221184]
[274552, 49152221184]
[286968, 49152221184]
[294952, 49152221184]
[295032, 49152221184]
[295072, 49152221184]
[319632, 49152221184]
[331784, 49152221184]
[331904, 49152221184]
[376904, 49152221184]
[385144, 49152221184]
[442376, 49152221184]
[471144, 49152221184]
[49152221184, 520368]
[49152221184, 549056]
[49152221184, 581824]
[49152221184, 606216]
[49152221184, 610312]
[49152221184, 610480]
[49152221184, 635072]
[49152221184, 647288]
[49152221184, 655552]
[49152221184, 659648]
[49152221184, 663672]
[49152221184, 671936]
[49152221184, 671984]
[49152221184, 692400]
[49152221184, 704760]
[49152221184, 716872]
[49152221184, 741520]
[49152221184, 786432]
[49152221184, 786504]
[49152221184, 794864]
[49152221184, 807152]
[49152221184, 811008]
[49152221184, 811248]
[49152221184, 819320]
[49152221184, 839688]
[49152221184, 872688]
[49152221184, 897264]
[49152221184, 950432]
[49152221184, 954528]
[49152221184, 962720]
[49152221184, 970752]
[49152221184, 974848]
[49152221184, 975008]
[1011872, 49152221184]
[1032352, 49152221184]
[1056768, 49152221184]
[1065120, 49152221184]
[1134752, 49152221184]
[1142960, 49152221184]
[1147128, 49152221184]
[1163264, 49152221184]
[1188088, 49152221184]
[1192096, 49152221184]
[1204224, 49152221184]
[1302600, 49152221184]
[1343648, 49152221184]
[1351872, 49152221184]
[1376416, 49152221184]
[1388704, 49152221184]
[1392800, 49152221184]
[1478816, 49152221184]
[1548528, 49152221184]
[1659072, 49152221184]
[1671328, 49152221184]
[1732768, 49152221184]
[1839296, 49152221184]
[1896640, 49152221184]
[1929408, 49152221184]
[1958080, 49152221184]
[2023584, 49152221184]
[2064456, 49152221184]
[2109600, 49152221184]
[2199560, 49152221184]
[2224200, 49152221184]
[2261000, 49152221184]
[2269256, 49152221184]
[2277536, 49152221184]
[2383880, 49152221184]
[2482320, 49152221184]
[2510856, 49152221184]
[2523280, 49152221184]
[2539664, 49152221184]
[2564240, 49152221184]
[2613320, 49152221184]
[2687120, 49152221184]
[2703504, 49152221184]
[2785352, 49152221184]
[2785424, 49152221184]
[2941072, 49152221184]
[2965512, 49152221184]
[2965648, 49152221184]
[3006472, 49152221184]
[3026952, 49152221184]
[3039240, 49152221184]
[3047432, 49152221184]
[3092488, 49152221184]
[3096720, 49152221184]
[3198984, 49152221184]
