[20584, 314573672672]
[122952, 314573672672]
[266416, 314573672672]
[314573672672, 331896]
[314573672672, 462968]
[2654352, 314573672672]
[3117128, 314573672672]
[314573672672, 4915343448]
[314573672672, 4915363928]
[314573672672, 4915441872]
[314573672672, 4915695672]
[314573672672, 4918083744]
[314573672672, 9830457344]
[314573672672, 39321694384]
[314573672672, 39321714728]
[314573672672, 39321739368]
[314573672672, 39322468440]
[314573672672, 58982469632]
[314573672672, 73728176288]
[314573672672, 83558518944]
[314573672672, 83559657648]
[314573672672, 83559727160]
[314573672672, 88473772176]
[314573672672, 88473907304]
[314573672672, 88474734696]
[314573672672, 93389115536]
[103219908816, 314573672672]
[113049956528, 314573672672]
[117964837024, 314573672672]
[117965004992, 314573672672]
[117965471952, 314573672672]
[117965590632, 314573672672]
[117966270672, 314573672672]
[122880168024, 314573672672]
[122880356512, 314573672672]
[122880385200, 314573672672]
[122881044536, 314573672672]
[122881355832, 314573672672]
[122881454136, 314573672672]
[122881794104, 314573672672]
[122882383928, 314573672672]
[122882469944, 314573672672]
[127795208248, 314573672672]
[127795314776, 314573672672]
[127795384408, 314573672672]
[127795425336, 314573672672]
[127795441872, 314573672672]
[127795458176, 314573672672]
[127796240384, 314573672672]
[127796523096, 314573672672]
[127796551736, 314573672672]
[127796728016, 314573672672]
[127796732112, 314573672672]
[127796781112, 314573672672]
[127797055576, 314573672672]
[127797059792, 314573672672]
[127797096536, 314573672672]
[127797113040, 314573672672]
[127797248056, 314573672672]
[127797780688, 314573672672]
[127797960912, 314573672672]
[132710494432, 314573672672]
[132710518872, 314573672672]
[132710551640, 314573672672]
[132710600760, 314573672672]
[132710633528, 314573672672]
[132710715400, 314573672672]
[132710965496, 314573672672]
[132711719000, 314573672672]
[132711755832, 314573672672]
[132712026168, 314573672672]
[132712050776, 314573672672]
[132712058936, 314573672672]
[132712063032, 314573672672]
[132712075352, 314573672672]
[132712136912, 314573672672]
[132712194136, 314573672672]
[132712206392, 314573672672]
[132712779832, 314573672672]
[132712808504, 314573672672]
[132712828984, 314573672672]
[132712845368, 314573672672]
[137625776336, 314573672672]
[137625829584, 314573672672]
[137625870544, 314573672672]
[137625895120, 314573672672]
[137625993376, 314573672672]
[137626734800, 314573672672]
[137626746936, 314573672672]
[137626939448, 314573672672]
[137626980560, 314573672672]
[137627217976, 314573672672]
[137627418832, 314573672672]
[137627422840, 314573672672]
[137627885776, 314573672672]
[142540865744, 314573672672]
[142541099256, 314573672672]
[142541226192, 314573672672]
[142541537488, 314573672672]
[142541566160, 314573672672]
[142541881552, 314573672672]
[142541942992, 314573672672]
[147456835744, 314573672672]
[147457159288, 314573672672]
[147457355936, 314573672672]
[152371265664, 314573672672]
[152371331312, 314573672672]
[162201677928, 314573672672]
[162202173632, 314573672672]
[162202198160, 314573672672]
[167116832840, 314573672672]
[172032098376, 314573672672]
[172032229520, 314573672672]
[172032295072, 314573672672]
[172032684032, 314573672672]
[172033392864, 314573672672]
[176947482664, 314573672672]
[176947577024, 314573672672]
[176947834904, 314573672672]
[176948187280, 314573672672]
[181862539264, 314573672672]
[181863051408, 314573672672]
[181863165992, 314573672672]
[181863166024, 314573672672]
[181863350312, 314573672672]
[186777735416, 314573672672]
[186777866368, 314573672672]
[186778124480, 314573672672]
[186778329336, 314573672672]
[186778628168, 314573672672]
[186778947728, 314573672672]
[191693193440, 314573672672]
[191693308064, 314573672672]
[191693475984, 314573672672]
[191695040536, 314573672672]
[196608069792, 314573672672]
[196608192736, 314573672672]
[196608372760, 314573672672]
[196608434304, 314573672672]
[196608446504, 314573672672]
[196608495760, 314573672672]
[196608573464, 314573672672]
[196609114120, 314573672672]
[196609220768, 314573672672]
[201523503296, 314573672672]
[201523761344, 314573672672]
[206438633616, 314573672672]
[206439219224, 314573672672]
[206439301144, 314573672672]
[211353669856, 314573672672]
[211354022048, 314573672672]
[216268812416, 314573672672]
[216269946904, 314573672672]
[221184008352, 314573672672]
[221184245768, 314573672672]
[221184675912, 314573672672]
[226099220608, 314573672672]
[226099261664, 314573672672]
[226099564672, 314573672672]
[226100199552, 314573672672]
[226100215936, 314573672672]
[226100539520, 314573672672]
[231014424576, 314573672672]
[231014502408, 314573672672]
[231014739992, 314573672672]
[231014965248, 314573672672]
[231016480888, 314573672672]
[245760069656, 314573672672]
[245760364736, 314573672672]
[250675216576, 314573672672]
[250675867840, 314573672672]
[250675908848, 314573672672]
[250675982376, 314573672672]
[250676052160, 314573672672]
[250676236480, 314573672672]
[250676248768, 314573672672]
[250676654272, 314573672672]
[250676793536, 314573672672]
[250677186752, 314573672672]
[255590404256, 314573672672]
[255590449344, 314573672672]
