[221184938128, 285081735328]
[285081735328, 294912188560]
[285081735328, 294912192656]
[162201653248, 285081735328]
[162201657344, 285081735328]
[167116918960, 285081735328]
[167117029480, 285081735328]
[167117062320, 285081735328]
[167117074608, 285081735328]
[167117324480, 285081735328]
[172032368744, 285081735328]
[172032397312, 285081735328]
[172033122408, 285081735328]
[172033671208, 285081735328]
[172034052320, 285081735328]
[172034162912, 285081735328]
[172034167008, 285081735328]
[172034171104, 285081735328]
[172034228448, 285081735328]
[176947228672, 285081735328]
[176947380416, 285081735328]
[176947454144, 285081735328]
[176947499200, 285081735328]
[176947511472, 285081735328]
[176947515568, 285081735328]
[176947523760, 285081735328]
[176947585128, 285081735328]
[176948076736, 285081735328]
[176948580576, 285081735328]
[176948949016, 285081735328]
[176949215256, 285081735328]
[176949354520, 285081735328]
[181862416384, 285081735328]
[181862600808, 285081735328]
[181862613184, 285081735328]
[181862740072, 285081735328]
[181863190752, 285081735328]
[181863505960, 285081735328]
[186777628680, 285081735328]
[186778628136, 285081735328]
[186778939616, 285081735328]
[186779001056, 285081735328]
[186779029728, 285081735328]
[191692939264, 285081735328]
[191693414624, 285081735328]
[191694975000, 285081735328]
[191695081496, 285081735328]
[196608118792, 285081735328]
[196608843776, 285081735328]
[201523257352, 285081735328]
[201523515616, 285081735328]
[201524260904, 285081735328]
[201524858904, 285081735328]
[206438752264, 285081735328]
[206439530536, 285081735328]
[206439727128, 285081735328]
[211353677832, 285081735328]
[211353784320, 285081735328]
[216268967936, 285081735328]
[216269033472, 285081735328]
[221184094208, 285081735328]
[221184135312, 285081735328]
[221184680096, 285081735328]
[221184802960, 285081735328]
[226099425280, 285081735328]
[226099765392, 285081735328]
[231014469792, 285081735328]
[231014498464, 285081735328]
[231014789120, 285081735328]
[231015100416, 285081735328]
[231015133184, 285081735328]
[235929616392, 285081735328]
[235929624576, 285081735328]
[235929702408, 285081735328]
[235929706496, 285081735328]
[235930480784, 285081735328]
[235930529936, 285081735328]
[240844828816, 285081735328]
[240845246608, 285081735328]
[245760049160, 285081735328]
[245760073736, 285081735328]
[245760278672, 285081735328]
[245760311456, 285081735328]
[245760315552, 285081735328]
[250675835000, 285081735328]
[250675859576, 285081735328]
[250675892344, 285081735328]
[250676482192, 285081735328]
[250676510864, 285081735328]
[250676682896, 285081735328]
[250676691088, 285081735328]
[250676703376, 285081735328]
[250676727952, 285081735328]
[255590629536, 285081735328]
[260506181792, 285081735328]
[260506239216, 285081735328]
[260506247312, 285081735328]
[260506362000, 285081735328]
[260506423440, 285081735328]
[265421140096, 285081735328]
[265421156480, 285081735328]
[265421275296, 285081735328]
[275251339424, 285081735328]
[275251355808, 285081735328]
[275251396752, 285081735328]
[275251404944, 285081735328]
[275251409040, 285081735328]
[275251413136, 285081735328]
[275251519632, 285081735328]
[280166596752, 285081735328]
[280166666400, 285081735328]
[280166924448, 285081735328]
[280166957200, 285081735328]
[280166957216, 285081735328]
[280167448736, 285081735328]
[280167477408, 285081735328]
[285081735328, 285081784480]
[285081735328, 285081927824]
[285081735328, 294912200848]
[285081735328, 294912204944]
[285081735328, 294912344208]
[285081735328, 294912376976]
[285081735328, 294912397456]
[285081735328, 294912692368]
[285081735328, 294913044552]
[285081735328, 299827216528]
[285081735328, 299827298464]
[285081735328, 299827368096]
[285081735328, 299827400864]
[285081735328, 299827474576]
[285081735328, 304743190600]
[167117451368, 285081735328]
[176947966144, 285081735328]
[181862736048, 285081735328]
[196608077832, 285081735328]
[196608483336, 285081735328]
[201523933184, 285081735328]
[211353927680, 285081735328]
[221184655520, 285081735328]
[221184700576, 285081735328]
[221184827536, 285081735328]
[231014985872, 285081735328]
[235929723024, 285081735328]
[240844951696, 285081735328]
[250676539536, 285081735328]
[250676736144, 285081735328]
[255590621344, 285081735328]
[260505997456, 285081735328]
[280166715552, 285081735328]
[285081735328, 285082095760]
[285081735328, 285082275984]
[285081735328, 289996959888]
[285081735328, 289996984480]
[285081735328, 294912352400]
[285081735328, 299827331232]
[172032323688, 285081735328]
[176947363944, 285081735328]
[231014748160, 285081735328]
[231015534592, 285081735328]
[280166600864, 285081735328]
[285081735328, 294912037024]
