[20584, 324403957760]
[122952, 324403957760]
[266416, 324403957760]
[324403957760, 331896]
[324403957760, 462968]
[2654352, 324403957760]
[3117128, 324403957760]
[324403957760, 4915343448]
[324403957760, 4915363928]
[324403957760, 4915441872]
[324403957760, 4915695672]
[324403957760, 4918083744]
[324403957760, 9830457344]
[324403957760, 39321694384]
[324403957760, 39321714728]
[324403957760, 39321739368]
[324403957760, 39322468440]
[324403957760, 58982469632]
[324403957760, 73728176288]
[324403957760, 83558518944]
[324403957760, 83559657648]
[324403957760, 83559727160]
[324403957760, 88473772176]
[324403957760, 88473907304]
[324403957760, 88474734696]
[324403957760, 93389115536]
[103219908816, 324403957760]
[113049956528, 324403957760]
[117964837024, 324403957760]
[117965004992, 324403957760]
[117965471952, 324403957760]
[117965590632, 324403957760]
[117966270672, 324403957760]
[122880168024, 324403957760]
[122880356512, 324403957760]
[122880385200, 324403957760]
[122881044536, 324403957760]
[122881355832, 324403957760]
[122881454136, 324403957760]
[122881794104, 324403957760]
[122882383928, 324403957760]
[122882469944, 324403957760]
[127795208248, 324403957760]
[127795314776, 324403957760]
[127795384408, 324403957760]
[127795425336, 324403957760]
[127795441872, 324403957760]
[127795458176, 324403957760]
[127796240384, 324403957760]
[127796523096, 324403957760]
[127796551736, 324403957760]
[127796728016, 324403957760]
[127796732112, 324403957760]
[127796781112, 324403957760]
[127797055576, 324403957760]
[127797059792, 324403957760]
[127797096536, 324403957760]
[127797113040, 324403957760]
[127797248056, 324403957760]
[127797780688, 324403957760]
[127797960912, 324403957760]
[132710494432, 324403957760]
[132710518872, 324403957760]
[132710551640, 324403957760]
[132710600760, 324403957760]
[132710633528, 324403957760]
[132710715400, 324403957760]
[132710965496, 324403957760]
[132711719000, 324403957760]
[132711755832, 324403957760]
[132712026168, 324403957760]
[132712050776, 324403957760]
[132712058936, 324403957760]
[132712063032, 324403957760]
[132712075352, 324403957760]
[132712136912, 324403957760]
[132712194136, 324403957760]
[132712206392, 324403957760]
[132712779832, 324403957760]
[132712808504, 324403957760]
[132712828984, 324403957760]
[132712845368, 324403957760]
[137625776336, 324403957760]
[137625829584, 324403957760]
[137625870544, 324403957760]
[137625895120, 324403957760]
[137625993376, 324403957760]
[137626734800, 324403957760]
[137626746936, 324403957760]
[137626939448, 324403957760]
[137626980560, 324403957760]
[137627217976, 324403957760]
[137627418832, 324403957760]
[137627422840, 324403957760]
[137627885776, 324403957760]
[142540865744, 324403957760]
[142541099256, 324403957760]
[142541226192, 324403957760]
[142541537488, 324403957760]
[142541566160, 324403957760]
[142541881552, 324403957760]
[142541942992, 324403957760]
[147456835744, 324403957760]
[147457159288, 324403957760]
[147457355936, 324403957760]
[152371265664, 324403957760]
[152371331312, 324403957760]
[162201677928, 324403957760]
[162202173632, 324403957760]
[162202198160, 324403957760]
[167116832840, 324403957760]
[172032098376, 324403957760]
[172032229520, 324403957760]
[172032295072, 324403957760]
[172032684032, 324403957760]
[172033392864, 324403957760]
[176947482664, 324403957760]
[176947577024, 324403957760]
[176947834904, 324403957760]
[176948187280, 324403957760]
[181862539264, 324403957760]
[181863051408, 324403957760]
[181863165992, 324403957760]
[181863166024, 324403957760]
[181863350312, 324403957760]
[186777735416, 324403957760]
[186777866368, 324403957760]
[186778124480, 324403957760]
[186778329336, 324403957760]
[186778628168, 324403957760]
[186778947728, 324403957760]
[191693193440, 324403957760]
[191693308064, 324403957760]
[191693475984, 324403957760]
[191695040536, 324403957760]
[196608069792, 324403957760]
[196608192736, 324403957760]
[196608372760, 324403957760]
[196608434304, 324403957760]
[196608446504, 324403957760]
[196608495760, 324403957760]
[196608573464, 324403957760]
[196609114120, 324403957760]
[196609220768, 324403957760]
[201523503296, 324403957760]
[201523761344, 324403957760]
[206438633616, 324403957760]
[206439219224, 324403957760]
[206439301144, 324403957760]
[211353669856, 324403957760]
[211354022048, 324403957760]
[216268812416, 324403957760]
[216269946904, 324403957760]
[221184008352, 324403957760]
[221184245768, 324403957760]
[221184675912, 324403957760]
[226099220608, 324403957760]
[226099261664, 324403957760]
[226099564672, 324403957760]
[226100199552, 324403957760]
[226100215936, 324403957760]
[226100539520, 324403957760]
[231014424576, 324403957760]
[231014502408, 324403957760]
[231014739992, 324403957760]
[231014965248, 324403957760]
[231016480888, 324403957760]
[245760069656, 324403957760]
[245760364736, 324403957760]
[250675216576, 324403957760]
[250675867840, 324403957760]
[250675908848, 324403957760]
[250675982376, 324403957760]
[250676052160, 324403957760]
[250676236480, 324403957760]
[250676248768, 324403957760]
[250676654272, 324403957760]
[250676793536, 324403957760]
[250677186752, 324403957760]
[255590404256, 324403957760]
[255590449344, 324403957760]
[255590592688, 324403957760]
[255590604920, 324403957760]
[255590682816, 324403957760]
[255590699200, 324403957760]
[255590703208, 324403957760]
[255590715568, 324403957760]
[255590719664, 324403957760]
[255590764720, 324403957760]
[255590764736, 324403957760]
[255590863040, 324403957760]
[255590887600, 324403957760]
[255590895808, 324403957760]
[255590973544, 324403957760]
[255591047408, 324403957760]
[255591104688, 324403957760]
[255591207088, 324403957760]
[255591272592, 324403957760]
[255591317608, 324403957760]
[255591350464, 324403957760]
[260505665640, 324403957760]
[260505669656, 324403957760]
[260505727224, 324403957760]
[260505759920, 324403957760]
[260505764016, 324403957760]
[260505817192, 324403957760]
[260505850032, 324403957760]
[260505899184, 324403957760]
[260505981032, 324403957760]
[260505989224, 324403957760]
[260505989312, 324403957760]
[260506058856, 324403957760]
[260507160680, 324403957760]
[265420976304, 324403957760]
[265421177024, 324403957760]
[265421201584, 324403957760]
[265421209792, 324403957760]
[265421213872, 324403957760]
[265421258856, 324403957760]
[265421283576, 324403957760]
[265421303984, 324403957760]
[265421328576, 324403957760]
[265421357232, 324403957760]
[265421721704, 324403957760]
[265421758568, 324403957760]
[265421795432, 324403957760]
[265422020712, 324403957760]
[265422090416, 324403957760]
[265422127280, 324403957760]
[270336024752, 324403957760]
[270336196784, 324403957760]
[270336196856, 324403957760]
[270336241768, 324403957760]
[270336282816, 324403957760]
[270336315392, 324403957760]
[270336344240, 324403957760]
[270336364736, 324403957760]
[270336540776, 324403957760]
[270336721088, 324403957760]
[270336803008, 324403957760]
[270336880832, 324403957760]
[270336954560, 324403957760]
[270337343680, 324403957760]
[270337433792, 324403957760]
[270337859776, 324403957760]
[270337925312, 324403957760]
[275251327224, 324403957760]
[275251400864, 324403957760]
[275251441768, 324403957760]
[275251445800, 324403957760]
[275251511296, 324403957760]
[275251531776, 324403957760]
[275251539968, 324403957760]
[275251626176, 324403957760]
[275251695720, 324403957760]
[275251769448, 324403957760]
[275251794024, 324403957760]
[275251818688, 324403957760]
[275251830960, 324403957760]
[275251855536, 324403957760]
[275251912880, 324403957760]
[275251921000, 324403957760]
[275251945576, 324403957760]
[275252146280, 324403957760]
[275252342888, 324403957760]
[275252441192, 324403957760]
[275252486320, 324403957760]
[275252494440, 324403957760]
[275252539568, 324403957760]
[275252629680, 324403957760]
[275252703336, 324403957760]
[275252719720, 324403957760]
[275253055592, 324403957760]
[280166445064, 324403957760]
[280166494328, 324403957760]
[280166502504, 324403957760]
[280166522888, 324403957760]
[280166539368, 324403957760]
[280166551728, 324403957760]
[280166596712, 324403957760]
[280166703296, 324403957760]
[280166863040, 324403957760]
[280166895808, 324403957760]
[280167022784, 324403957760]
[280167043264, 324403957760]
[280167047360, 324403957760]
[280167506080, 324403957760]
[285081780232, 324403957760]
[285081809000, 324403957760]
[285081833576, 324403957760]
[285081944168, 324403957760]
[285082312880, 324403957760]
[285082316976, 324403957760]
[285082353856, 324403957760]
[289996836872, 324403957760]
[289996910696, 324403957760]
[289996939264, 324403957760]
[289996959848, 324403957760]
[289997082632, 324403957760]
[289997086824, 324403957760]
[289997103208, 324403957760]
[289997176936, 324403957760]
[289997287616, 324403957760]
[289997303816, 324403957760]
[289997434952, 324403957760]
[289997508784, 324403957760]
[289997541568, 324403957760]
[289997635760, 324403957760]
[289997668544, 324403957760]
[289997914288, 324403957760]
[289998086320, 324403957760]
[289998925896, 324403957760]
[294912053440, 324403957760]
[294912086120, 324403957760]
[294912118792, 324403957760]
[294912204904, 324403957760]
[294912229384, 324403957760]
[294912446656, 324403957760]
[294912463024, 324403957760]
[294912495720, 324403957760]
[294912540864, 324403957760]
[294912544944, 324403957760]
[294912581824, 324403957760]
[294912692328, 324403957760]
[294912692416, 324403957760]
[294912757864, 324403957760]
