[2564240, 78643453952]
[3215368, 78643453952]
[3276808, 78643453952]
[73728839872, 78643453952]
[78643453952, 83561865392]
[78643453952, 93389070576]
[78643453952, 98304630784]
[103219306688, 78643453952]
[113050296464, 78643453952]
[127795429584, 78643453952]
[132710465592, 78643453952]
[137626669264, 78643453952]
[142542016584, 78643453952]
[147456123056, 78643453952]
[147456237672, 78643453952]
[147456262352, 78643453952]
[152371208296, 78643453952]
[167116955840, 78643453952]
[176947265656, 78643453952]
[181863374992, 78643453952]
[181863661728, 78643453952]
[186778636432, 78643453952]
[186779332752, 78643453952]
[186780246176, 78643453952]
[201524404264, 78643453952]
[206438498528, 78643453952]
[206438727784, 78643453952]
[206439297216, 78643453952]
[206440681720, 78643453952]
[221184086256, 78643453952]
[226099753088, 78643453952]
[231015419904, 78643453952]
[240844910736, 78643453952]
[245761409264, 78643453952]
[270336659600, 78643453952]
[280166428744, 78643453952]
[280167792784, 78643453952]
[289996849344, 78643453952]
[294912078048, 78643453952]
[299827495104, 78643453952]
[304743276616, 78643453952]
[314574442624, 78643453952]
[319488753704, 78643453952]
[324403294352, 78643453952]
[324405743640, 78643453952]
[329318990016, 78643453952]
[334233907392, 78643453952]
[344064147632, 78643453952]
[358811578408, 78643453952]
[363725127720, 78643453952]
[368641347656, 78643453952]
[373555417096, 78643453952]
[373556383768, 78643453952]
[388301410328, 78643453952]
[388302381096, 78643453952]
[393216208904, 78643453952]
[393217212536, 78643453952]
[403046846624, 78643453952]
[427622977680, 78643453952]
[437454422176, 78643453952]
[447283765256, 78643453952]
[457114071184, 78643453952]
[466944311336, 78643453952]
[466944376976, 78643453952]
[471859249192, 78643453952]
[471859290152, 78643453952]
[471859650752, 78643453952]
[476774490288, 78643453952]
[481689882624, 78643453952]
[481691304128, 78643453952]
[486605008936, 78643453952]
[486607532040, 78643453952]
[491520659560, 78643453952]
[496436703408, 78643453952]
[516096180232, 78643453952]
[516096471280, 78643453952]
[516097020064, 78643453952]
[525927710960, 78643453952]
[530841976904, 78643453952]
[589826764960, 78643453952]
[668468088992, 78643453952]
[49376, 78643453952]
[635008, 78643453952]
[2531336, 78643453952]
[4186120, 78643453952]
[4915310816, 78643453952]
[4915396608, 78643453952]
[4917325832, 78643453952]
[4918296720, 78643453952]
[4918354080, 78643453952]
[4918501536, 78643453952]
[78643453952, 9831116904]
[14745731216, 78643453952]
[14746542224, 78643453952]
[19660832928, 78643453952]
[19661250720, 78643453952]
[39321837728, 78643453952]
[54067228912, 78643453952]
[58982416544, 78643453952]
[58982449280, 78643453952]
[58982482168, 78643453952]
[73729405032, 78643453952]
[73731272808, 78643453952]
[73731358824, 78643453952]
[78643453952, 83558408368]
[78643453952, 83559252144]
[78643453952, 83560919216]
[78643453952, 88474050680]
[78643453952, 93389623488]
[78643453952, 98304733256]
[103221043392, 78643453952]
[108135026936, 78643453952]
[117965562096, 78643453952]
[122880876792, 78643453952]
[127795732480, 78643453952]
[132710592760, 78643453952]
[132711583752, 78643453952]
[132712120408, 78643453952]
[137626370296, 78643453952]
[137627623552, 78643453952]
[137628156024, 78643453952]
[142541152416, 78643453952]
[142541430792, 78643453952]
[142541721760, 78643453952]
[142541791392, 78643453952]
[142542209168, 78643453952]
[142543298720, 78643453952]
[147456049280, 78643453952]
[147456069688, 78643453952]
[147456532720, 78643453952]
[147456553048, 78643453952]
[147456655520, 78643453952]
[147457151096, 78643453952]
[147457609848, 78643453952]
[152371556576, 78643453952]
[157286490112, 78643453952]
[157287268496, 78643453952]
[157287817376, 78643453952]
[167117017248, 78643453952]
[172032024704, 78643453952]
[172032372880, 78643453952]
[172033634376, 78643453952]
[172034953424, 78643453952]
[176947875848, 78643453952]
[176948252744, 78643453952]
[176949022744, 78643453952]
[186778828928, 78643453952]
[196608012288, 78643453952]
[196608675912, 78643453952]
[206439473280, 78643453952]
[206439530744, 78643453952]
[211353759904, 78643453952]
[216268931072, 78643453952]
[216269484176, 78643453952]
[216271704312, 78643453952]
[221184618568, 78643453952]
[226101678136, 78643453952]
[231014531080, 78643453952]
[235929608440, 78643453952]
[235929731296, 78643453952]
[240845738128, 78643453952]
[240845750392, 78643453952]
[245761597512, 78643453952]
[250675372272, 78643453952]
[255590608920, 78643453952]
[255591080008, 78643453952]
[255591305440, 78643453952]
[260505719032, 78643453952]
[260505997472, 78643453952]
[260506783816, 78643453952]
[270336741448, 78643453952]
[275251998792, 78643453952]
[275255545928, 78643453952]
[280166662264, 78643453952]
[285081989264, 78643453952]
[289997357200, 78643453952]
[294912721040, 78643453952]
[299827585200, 78643453952]
[348979781632, 78643453952]
[348981755944, 78643453952]
[358810009776, 78643453952]
[358810722528, 78643453952]
[368641761320, 78643453952]
[378471350416, 78643453952]
[383386800136, 78643453952]
[388300959864, 78643453952]
[398131904552, 78643453952]
[403047026864, 78643453952]
[412878475424, 78643453952]
[422707740816, 78643453952]
[422707953824, 78643453952]
[427622658224, 78643453952]
[432540242064, 78643453952]
[437453541520, 78643453952]
[437454336160, 78643453952]
[447283814472, 78643453952]
[457113809024, 78643453952]
[457114017968, 78643453952]
[457114103968, 78643453952]
[457114411168, 78643453952]
[462029017312, 78643453952]
[466944450632, 78643453952]
[476774658072, 78643453952]
[476775075968, 78643453952]
[481689637024, 78643453952]
[481689718904, 78643453952]
[486605639704, 78643453952]
[486607568904, 78643453952]
[491520037008, 78643453952]
[491520581872, 78643453952]
[496435556528, 78643453952]
[496435605680, 78643453952]
[496435785768, 78643453952]
[501351858200, 78643453952]
[506266832920, 78643453952]
[525926822128, 78643453952]
[530841850000, 78643453952]
[565248356424, 78643453952]
[565249183904, 78643453952]
[584909021344, 78643453952]
[624230510752, 78643453952]
[634061275296, 78643453952]
[57464, 78643453952]
[151776, 78643453952]
[159968, 78643453952]
[176256, 78643453952]
[176320, 78643453952]
[196680, 78643453952]
[245952, 78643453952]
[262336, 78643453952]
[294952, 78643453952]
[323688, 78643453952]
[376904, 78643453952]
[389208, 78643453952]
[520368, 78643453952]
[524344, 78643453952]
[528632, 78643453952]
[561240, 78643453952]
[589928, 78643453952]
[655552, 78643453952]
[680128, 78643453952]
[78643453952, 823488]
[78643453952, 839688]
[78643453952, 864256]
[78643453952, 872688]
[78643453952, 913568]
[78643453952, 925752]
[78643453952, 991392]
[1032440, 78643453952]
[1126560, 78643453952]
[1286144, 78643453952]
[1351856, 78643453952]
[1523904, 78643453952]
[1630384, 78643453952]
[1908896, 78643453952]
[2015424, 78643453952]
[2277536, 78643453952]
[2441224, 78643453952]
[2445320, 78643453952]
[2490512, 78643453952]
[2703504, 78643453952]
[2797576, 78643453952]
[2822288, 78643453952]
[2990224, 78643453952]
[3096720, 78643453952]
[3149896, 78643453952]
[3162120, 78643453952]
[3309712, 78643453952]
[3330056, 78643453952]
[3895304, 78643453952]
[3907592, 78643453952]
[4059280, 78643453952]
[4165640, 78643453952]
[4362248, 78643453952]
[4714504, 78643453952]
[4796424, 78643453952]
[4841480, 78643453952]
[4849672, 78643453952]
[4870288, 78643453952]
[4882576, 78643453952]
[4902920, 78643453952]
[4907016, 78643453952]
[4911112, 78643453952]
[5066896, 78643453952]
[5107856, 78643453952]
[5148816, 78643453952]
[5161104, 78643453952]
[4915220640, 78643453952]
[4915236864, 78643453952]
[4915236872, 78643453952]
[4915265536, 78643453952]
[4915384424, 78643453952]
[4915413096, 78643453952]
[4915425384, 78643453952]
[4915445968, 78643453952]
[4915449944, 78643453952]
[4915499232, 78643453952]
[4915523808, 78643453952]
[4915527888, 78643453952]
[4915536016, 78643453952]
[4915577056, 78643453952]
[4915613904, 78643453952]
[4915663040, 78643453952]
[4915671232, 78643453952]
[4915707912, 78643453952]
[4915712144, 78643453952]
[4915724448, 78643453952]
[4915749024, 78643453952]
[4915994816, 78643453952]
[4915998912, 78643453952]
[4916109504, 78643453952]
[4916813968, 78643453952]
[4916838560, 78643453952]
[4916846736, 78643453952]
[4916920328, 78643453952]
[4917100552, 78643453952]
[4917272720, 78643453952]
[4917583880, 78643453952]
[4917600400, 78643453952]
[4917719200, 78643453952]
[4917797008, 78643453952]
[4917956752, 78643453952]
[4918075400, 78643453952]
[4918124552, 78643453952]
[4918132880, 78643453952]
[4918182048, 78643453952]
[4918374408, 78643453952]
[4918562824, 78643453952]
[4918599688, 78643453952]
[4918648840, 78643453952]
[4918845600, 78643453952]
[4918861984, 78643453952]
[4918866080, 78643453952]
[4918870176, 78643453952]
[4918882448, 78643453952]
[4918886560, 78643453952]
[4918898848, 78643453952]
[78643453952, 9830404104]
[78643453952, 9830404272]
[78643453952, 9830408400]
[78643453952, 9830453288]
[78643453952, 9830481960]
[78643453952, 9830486056]
[78643453952, 9830551640]
[78643453952, 9830584424]
[78643453952, 9830592672]
[78643453952, 9830604800]
[78643453952, 9830662184]
[78643453952, 9830748264]
[78643453952, 9830752360]
[78643453952, 9830764704]
[78643453952, 9830813904]
[78643453952, 9830883536]
[78643453952, 9830912160]
[78643453952, 9830949040]
[78643453952, 9831100520]
[78643453952, 9831178416]
[78643453952, 9831497904]
[78643453952, 9831506096]
[78643453952, 9831514216]
[78643453952, 9831587944]
[78643453952, 9831821488]
[78643453952, 9831825584]
[14745636888, 78643453952]
[14745743504, 78643453952]
[14745751712, 78643453952]
[14745755872, 78643453952]
[14745768128, 78643453952]
[14745825384, 78643453952]
[14745874432, 78643453952]
[14745923760, 78643453952]
[14745972824, 78643453952]
[14746099720, 78643453952]
[14746300592, 78643453952]
[14746349744, 78643453952]
[19660849312, 78643453952]
[19660853440, 78643453952]
[19660857384, 78643453952]
[19660865760, 78643453952]
[19660877952, 78643453952]
[19660878016, 78643453952]
[19660906552, 78643453952]
[19660914912, 78643453952]
[19660918976, 78643453952]
[19660927168, 78643453952]
[19660955736, 78643453952]
[19660968040, 78643453952]
[19661013096, 78643453952]
[19661082832, 78643453952]
[19661091040, 78643453952]
[19661123744, 78643453952]
[19661262856, 78643453952]
[19661590720, 78643453952]
[19661758688, 78643453952]
[19661832416, 78643453952]
[24576012448, 78643453952]
[24576016528, 78643453952]
[24576073752, 78643453952]
[24576077984, 78643453952]
[24576098464, 78643453952]
[24576184376, 78643453952]
[24576221376, 78643453952]
[24576274592, 78643453952]
[24576311304, 78643453952]
[24576442368, 78643453952]
[24576475280, 78643453952]
[24576581656, 78643453952]
[24576655504, 78643453952]
[24576671888, 78643453952]
[24576864296, 78643453952]
[24576950448, 78643453952]
[24576966680, 78643453952]
[24576987160, 78643453952]
[29491212480, 78643453952]
[29491220704, 78643453952]
[29491236872, 78643453952]
[29491269824, 78643453952]
[29491273752, 78643453952]
[29491290152, 78643453952]
[29491454160, 78643453952]
[29491494920, 78643453952]
[29491740896, 78643453952]
[29491843280, 78643453952]
[29492183080, 78643453952]
[34406416392, 78643453952]
[34406420480, 78643453952]
[34406420608, 78643453952]
[34406424736, 78643453952]
[34406482112, 78643453952]
[34406564016, 78643453952]
[34406588504, 78643453952]
[34406605048, 78643453952]
[34406678632, 78643453952]
[34406715536, 78643453952]
[34406883552, 78643453952]
[34406940816, 78643453952]
[34407014408, 78643453952]
[34407117008, 78643453952]
[34407219224, 78643453952]
[34407346200, 78643453952]
[34407555160, 78643453952]
[34407637080, 78643453952]
[34407755864, 78643453952]
[34407772248, 78643453952]
[34407776344, 78643453952]
[39321608320, 78643453952]
[39321628744, 78643453952]
[39321686224, 78643453952]
[39321731264, 78643453952]
[39321780416, 78643453952]
[39321817144, 78643453952]
[39321817280, 78643453952]
[39321931920, 78643453952]
[39322337368, 78643453952]
[39322341400, 78643453952]
[39322390616, 78643453952]
[39322534112, 78643453952]
[39322603608, 78643453952]
[44236894384, 78643453952]
[44236931096, 78643453952]
[44236935376, 78643453952]
[44237012992, 78643453952]
[44237082832, 78643453952]
[44237168832, 78643453952]
[44237312056, 78643453952]
[44237316136, 78643453952]
[44237459496, 78643453952]
[44237467672, 78643453952]
[44237488336, 78643453952]
[44237656272, 78643453952]
[49152008432, 78643453952]
[49152032944, 78643453952]
[49152041152, 78643453952]
[49152041168, 78643453952]
[49152081992, 78643453952]
[49152094248, 78643453952]
[49152123104, 78643453952]
[49152127200, 78643453952]
[49152241704, 78643453952]
[49152393272, 78643453952]
[49152458840, 78643453952]
[49152467032, 78643453952]
[49152508096, 78643453952]
[49152536768, 78643453952]
[54067298360, 78643453952]
[54067372136, 78643453952]
[54067376168, 78643453952]
[54067396848, 78643453952]
[54067413216, 78643453952]
[54067454056, 78643453952]
[54067532016, 78643453952]
[54067622080, 78643453952]
[54067626176, 78643453952]
[58982412480, 78643453952]
[58982416408, 78643453952]
[58982437112, 78643453952]
[58982445160, 78643453952]
[58982490232, 78643453952]
[58982506552, 78643453952]
[58982612992, 78643453952]
[58982674592, 78643453952]
[58982764752, 78643453952]
[58982781136, 78643453952]
[58982867168, 78643453952]
[58982895824, 78643453952]
[63897604256, 78643453952]
[63897649376, 78643453952]
[63897665712, 78643453952]
[63897686224, 78643453952]
[63897694312, 78643453952]
[63897718928, 78643453952]
[63897722952, 78643453952]
[63897723008, 78643453952]
[63897727064, 78643453952]
[63897735168, 78643453952]
[63897788544, 78643453952]
[63897796816, 78643453952]
[63897808936, 78643453952]
[63898238976, 78643453952]
[68812836872, 78643453952]
[68812849152, 78643453952]
[68812869840, 78643453952]
[68812931312, 78643453952]
[68812972088, 78643453952]
[68812984392, 78643453952]
[68813004872, 78643453952]
[68813013064, 78643453952]
[68813021256, 78643453952]
[68813025280, 78643453952]
[68813037568, 78643453952]
[68813045816, 78643453952]
[68813127704, 78643453952]
[68813136112, 78643453952]
[68813258992, 78643453952]
[68813447288, 78643453952]
[73728012296, 78643453952]
[73728180344, 78643453952]
[73728180432, 78643453952]
[73728184376, 78643453952]
[73728233480, 78643453952]
[73728237688, 78643453952]
[73728323776, 78643453952]
[73729048680, 78643453952]
[73729663080, 78643453952]
[73730240616, 78643453952]
[73730879592, 78643453952]
[73730973800, 78643453952]
[78643261480, 78643453952]
[78643425528, 78643453952]
[78643453952, 78643458152]
[78643453952, 78643482784]
[78643453952, 78643535976]
[78643453952, 78643830888]
[78643453952, 78644133992]
[78643453952, 78644187240]
[78643453952, 78645297344]
[78643453952, 83558437072]
[78643453952, 83558449224]
[78643453952, 83558465560]
[78643453952, 83558465664]
[78643453952, 83558478072]
[78643453952, 83558510632]
[78643453952, 83558559872]
[78643453952, 83558608984]
[78643453952, 83558666432]
[78643453952, 83558715584]
[78643453952, 83558826128]
[78643453952, 83558879392]
[78643453952, 83559075912]
[78643453952, 83559121072]
[78643453952, 83559145592]
[78643453952, 83559153856]
[78643453952, 83559231608]
[78643453952, 83559264448]
[78643453952, 83559714920]
[78643453952, 88473645280]
[78643453952, 88473653288]
[78643453952, 88473944240]
[78643453952, 88473948264]
[78643453952, 88473972896]
[78643453952, 88474022064]
[78643453952, 88474300520]
[78643453952, 88474341584]
[78643453952, 88474427496]
[78643453952, 88474443880]
[78643453952, 88474525800]
[78643453952, 88474640576]
[78643453952, 88474669160]
[78643453952, 88474677424]
[78643453952, 88474927312]
[78643453952, 88475725928]
[78643453952, 88475750576]
[78643453952, 88475783344]
[78643453952, 88475807920]
[78643453952, 88476106856]
[78643453952, 93388808352]
[78643453952, 93388931080]
[78643453952, 93388984512]
[78643453952, 93389000832]
[78643453952, 93389005040]
[78643453952, 93389107328]
[78643453952, 93389152264]
[78643453952, 93389185264]
[78643453952, 93389287432]
[78643453952, 93389316104]
[78643453952, 93389348968]
[78643453952, 93389352968]
[78643453952, 93389402256]
[78643453952, 93389459456]
[78643453952, 93389541584]
[78643453952, 93389910104]
[78643453952, 93389914120]
[78643453952, 98304012328]
[78643453952, 98304020672]
[78643453952, 98304057416]
[78643453952, 98304090232]
[78643453952, 98304164032]
[78643453952, 98304278688]
[78643453952, 98304291064]
[78643453952, 98304339968]
[78643453952, 98304344272]
[78643453952, 98304422128]
[78643453952, 98304565256]
[78643453952, 98304806920]
[78643453952, 98305056960]
[78643453952, 98305138864]
[78643453952, 98305200232]
[78643453952, 98305536176]
[78643453952, 98305740976]
[78643453952, 98306109616]
[78643453952, 98306224232]
[103219261616, 78643453952]
[103219273856, 78643453952]
[103219302520, 78643453952]
[103219339424, 78643453952]
[103219347584, 78643453952]
[103219400952, 78643453952]
[103219433712, 78643453952]
[103219441904, 78643453952]
[103219535880, 78643453952]
[103219548168, 78643453952]
[103219556408, 78643453952]
[103219716200, 78643453952]
[103219748952, 78643453952]
[103219814408, 78643453952]
[103219867824, 78643453952]
[103220302000, 78643453952]
[108134416608, 78643453952]
[108134420520, 78643453952]
[108134486088, 78643453952]
[108134494400, 78643453952]
