[20584, 471859945544]
[122952, 471859945544]
[266416, 471859945544]
[331896, 471859945544]
[462968, 471859945544]
[2654352, 471859945544]
[3117128, 471859945544]
[471859945544, 4915343448]
[471859945544, 4915363928]
[471859945544, 4915441872]
[471859945544, 4915695672]
[471859945544, 4918083744]
[471859945544, 9830457344]
[39321694384, 471859945544]
[39321714728, 471859945544]
[39321739368, 471859945544]
[39322468440, 471859945544]
[471859945544, 58982469632]
[471859945544, 73728176288]
[471859945544, 83558518944]
[471859945544, 83559657648]
[471859945544, 83559727160]
[471859945544, 88473772176]
[471859945544, 88473907304]
[471859945544, 88474734696]
[471859945544, 93389115536]
[103219908816, 471859945544]
[113049956528, 471859945544]
[117964837024, 471859945544]
[117965004992, 471859945544]
[117965471952, 471859945544]
[117965590632, 471859945544]
[117966270672, 471859945544]
[122880168024, 471859945544]
[122880356512, 471859945544]
[122880385200, 471859945544]
[122881044536, 471859945544]
[122881355832, 471859945544]
[122881454136, 471859945544]
[122881794104, 471859945544]
[122882383928, 471859945544]
[122882469944, 471859945544]
[127795208248, 471859945544]
[127795314776, 471859945544]
[127795384408, 471859945544]
[127795425336, 471859945544]
[127795441872, 471859945544]
[127795458176, 471859945544]
[127796240384, 471859945544]
[127796523096, 471859945544]
[127796551736, 471859945544]
[127796728016, 471859945544]
[127796732112, 471859945544]
[127796781112, 471859945544]
[127797055576, 471859945544]
[127797059792, 471859945544]
[127797096536, 471859945544]
[127797113040, 471859945544]
[127797248056, 471859945544]
[127797780688, 471859945544]
[127797960912, 471859945544]
[132710494432, 471859945544]
[132710518872, 471859945544]
[132710551640, 471859945544]
[132710600760, 471859945544]
[132710633528, 471859945544]
[132710715400, 471859945544]
[132710965496, 471859945544]
[132711719000, 471859945544]
[132711755832, 471859945544]
[132712026168, 471859945544]
[132712050776, 471859945544]
[132712058936, 471859945544]
[132712063032, 471859945544]
[132712075352, 471859945544]
[132712136912, 471859945544]
[132712194136, 471859945544]
[132712206392, 471859945544]
[132712779832, 471859945544]
[132712808504, 471859945544]
[132712828984, 471859945544]
[132712845368, 471859945544]
[137625776336, 471859945544]
[137625829584, 471859945544]
[137625870544, 471859945544]
[137625895120, 471859945544]
[137625993376, 471859945544]
[137626734800, 471859945544]
[137626746936, 471859945544]
[137626939448, 471859945544]
[137626980560, 471859945544]
[137627217976, 471859945544]
[137627418832, 471859945544]
[137627422840, 471859945544]
[137627885776, 471859945544]
[142540865744, 471859945544]
[142541099256, 471859945544]
[142541226192, 471859945544]
[142541537488, 471859945544]
[142541566160, 471859945544]
[142541881552, 471859945544]
[142541942992, 471859945544]
[147456835744, 471859945544]
[147457159288, 471859945544]
[147457355936, 471859945544]
[152371265664, 471859945544]
[152371331312, 471859945544]
[162201677928, 471859945544]
[162202173632, 471859945544]
[162202198160, 471859945544]
[167116832840, 471859945544]
[172032098376, 471859945544]
[172032229520, 471859945544]
[172032295072, 471859945544]
[172032684032, 471859945544]
[172033392864, 471859945544]
[176947482664, 471859945544]
[176947577024, 471859945544]
[176947834904, 471859945544]
[176948187280, 471859945544]
[181862539264, 471859945544]
[181863051408, 471859945544]
[181863165992, 471859945544]
[181863166024, 471859945544]
[181863350312, 471859945544]
[186777735416, 471859945544]
[186777866368, 471859945544]
[186778124480, 471859945544]
[186778329336, 471859945544]
[186778628168, 471859945544]
[186778947728, 471859945544]
[191693193440, 471859945544]
[191693308064, 471859945544]
[191693475984, 471859945544]
[191695040536, 471859945544]
[196608069792, 471859945544]
[196608192736, 471859945544]
[196608372760, 471859945544]
[196608434304, 471859945544]
[196608446504, 471859945544]
[196608495760, 471859945544]
[196608573464, 471859945544]
[196609114120, 471859945544]
[196609220768, 471859945544]
[201523503296, 471859945544]
[201523761344, 471859945544]
[206438633616, 471859945544]
[206439219224, 471859945544]
[206439301144, 471859945544]
[211353669856, 471859945544]
[211354022048, 471859945544]
[216268812416, 471859945544]
[216269946904, 471859945544]
[221184008352, 471859945544]
[221184245768, 471859945544]
[221184675912, 471859945544]
[226099220608, 471859945544]
[226099261664, 471859945544]
[226099564672, 471859945544]
[226100199552, 471859945544]
[226100215936, 471859945544]
[226100539520, 471859945544]
[231014424576, 471859945544]
[231014502408, 471859945544]
[231014739992, 471859945544]
[231014965248, 471859945544]
[231016480888, 471859945544]
[245760069656, 471859945544]
[245760364736, 471859945544]
[250675216576, 471859945544]
[250675867840, 471859945544]
[250675908848, 471859945544]
[250675982376, 471859945544]
[250676052160, 471859945544]
[250676236480, 471859945544]
[250676248768, 471859945544]
[250676654272, 471859945544]
[250676793536, 471859945544]
[250677186752, 471859945544]
[255590404256, 471859945544]
[255590449344, 471859945544]
[255590592688, 471859945544]
[255590604920, 471859945544]
[255590682816, 471859945544]
[255590699200, 471859945544]
[255590703208, 471859945544]
[255590715568, 471859945544]
[255590719664, 471859945544]
[255590764720, 471859945544]
[255590764736, 471859945544]
[255590863040, 471859945544]
[255590887600, 471859945544]
[255590895808, 471859945544]
[255590973544, 471859945544]
[255591047408, 471859945544]
[255591104688, 471859945544]
[255591207088, 471859945544]
[255591272592, 471859945544]
[255591317608, 471859945544]
[255591350464, 471859945544]
[260505665640, 471859945544]
[260505669656, 471859945544]
[260505727224, 471859945544]
[260505759920, 471859945544]
[260505764016, 471859945544]
[260505817192, 471859945544]
[260505850032, 471859945544]
[260505899184, 471859945544]
[260505981032, 471859945544]
[260505989224, 471859945544]
[260505989312, 471859945544]
[260506058856, 471859945544]
[260507160680, 471859945544]
[265420976304, 471859945544]
[265421177024, 471859945544]
[265421201584, 471859945544]
[265421209792, 471859945544]
[265421213872, 471859945544]
[265421258856, 471859945544]
[265421283576, 471859945544]
[265421303984, 471859945544]
[265421328576, 471859945544]
[265421357232, 471859945544]
[265421721704, 471859945544]
[265421758568, 471859945544]
[265421795432, 471859945544]
[265422020712, 471859945544]
[265422090416, 471859945544]
[265422127280, 471859945544]
[270336024752, 471859945544]
[270336196784, 471859945544]
[270336196856, 471859945544]
[270336241768, 471859945544]
[270336282816, 471859945544]
[270336315392, 471859945544]
[270336344240, 471859945544]
[270336364736, 471859945544]
[270336540776, 471859945544]
[270336721088, 471859945544]
[270336803008, 471859945544]
[270336880832, 471859945544]
[270336954560, 471859945544]
[270337343680, 471859945544]
[270337433792, 471859945544]
[270337859776, 471859945544]
[270337925312, 471859945544]
[275251327224, 471859945544]
[275251400864, 471859945544]
[275251441768, 471859945544]
[275251445800, 471859945544]
[275251511296, 471859945544]
[275251531776, 471859945544]
[275251539968, 471859945544]
[275251626176, 471859945544]
[275251695720, 471859945544]
[275251769448, 471859945544]
[275251794024, 471859945544]
[275251818688, 471859945544]
[275251830960, 471859945544]
[275251855536, 471859945544]
[275251912880, 471859945544]
[275251921000, 471859945544]
[275251945576, 471859945544]
[275252146280, 471859945544]
[275252342888, 471859945544]
[275252441192, 471859945544]
[275252486320, 471859945544]
[275252494440, 471859945544]
[275252539568, 471859945544]
[275252629680, 471859945544]
[275252703336, 471859945544]
[275252719720, 471859945544]
[275253055592, 471859945544]
[280166445064, 471859945544]
[280166494328, 471859945544]
[280166502504, 471859945544]
[280166522888, 471859945544]
[280166539368, 471859945544]
[280166551728, 471859945544]
[280166596712, 471859945544]
[280166703296, 471859945544]
[280166863040, 471859945544]
[280166895808, 471859945544]
[280167022784, 471859945544]
[280167043264, 471859945544]
[280167047360, 471859945544]
[280167506080, 471859945544]
[285081780232, 471859945544]
[285081809000, 471859945544]
[285081833576, 471859945544]
[285081944168, 471859945544]
[285082312880, 471859945544]
[285082316976, 471859945544]
[285082353856, 471859945544]
[289996836872, 471859945544]
[289996910696, 471859945544]
[289996939264, 471859945544]
[289996959848, 471859945544]
[289997082632, 471859945544]
[289997086824, 471859945544]
[289997103208, 471859945544]
[289997176936, 471859945544]
[289997287616, 471859945544]
[289997303816, 471859945544]
[289997434952, 471859945544]
[289997508784, 471859945544]
[289997541568, 471859945544]
[289997635760, 471859945544]
[289997668544, 471859945544]
[289997914288, 471859945544]
[289998086320, 471859945544]
[289998925896, 471859945544]
[294912053440, 471859945544]
[294912086120, 471859945544]
[294912118792, 471859945544]
[294912204904, 471859945544]
[294912229384, 471859945544]
[294912446656, 471859945544]
[294912463024, 471859945544]
[294912495720, 471859945544]
[294912540864, 471859945544]
[294912544944, 471859945544]
[294912581824, 471859945544]
[294912692328, 471859945544]
[294912692416, 471859945544]
[294912757864, 471859945544]
[294912848064, 471859945544]
[294913106096, 471859945544]
[294913138864, 471859945544]
[294913188016, 471859945544]
[294913196208, 471859945544]
[294913454224, 471859945544]
[299827449960, 471859945544]
[299827499008, 471859945544]
[299827523592, 471859945544]
[299827564544, 471859945544]
[299827724480, 471859945544]
[299827736752, 471859945544]
[299827863624, 471859945544]
[299828453568, 471859945544]
[304742420608, 471859945544]
[304742445080, 471859945544]
[304742490288, 471859945544]
[304742494208, 471859945544]
[304742600824, 471859945544]
[304742629376, 471859945544]
[304742633576, 471859945544]
[304742715568, 471859945544]
[304742760448, 471859945544]
[304742867048, 471859945544]
[304742891696, 471859945544]
[304743158008, 471859945544]
[304743178368, 471859945544]
[304743198824, 471859945544]
[304743198848, 471859945544]
[304743202992, 471859945544]
[304743243776, 471859945544]
[304743309488, 471859945544]
[304743329920, 471859945544]
[304743366656, 471859945544]
[304743374976, 471859945544]
[304743395432, 471859945544]
[304743395456, 471859945544]
[304743440488, 471859945544]
[304743457016, 471859945544]
[304743461088, 471859945544]
[304743477496, 471859945544]
[304743522432, 471859945544]
[304743596208, 471859945544]
[304743874784, 471859945544]
[304744005760, 471859945544]
[304744124520, 471859945544]
[309657616528, 471859945544]
[309657640968, 471859945544]
[309657649176, 471859945544]
[309657657368, 471859945544]
[309657673768, 471859945544]
[309657702408, 471859945544]
[309657714864, 471859945544]
[309657751776, 471859945544]
[309657772040, 471859945544]
[309657813120, 471859945544]
[309657817264, 471859945544]
[309657919528, 471859945544]
[309657931952, 471859945544]
[309657968664, 471859945544]
[309657985264, 471859945544]
[309658066984, 471859945544]
[309658083368, 471859945544]
[309658112104, 471859945544]
[309658210552, 471859945544]
[309658263728, 471859945544]
[309658267896, 471859945544]
[309658308632, 471859945544]
[309658337528, 471859945544]
[309658370272, 471859945544]
[309658374320, 471859945544]
[309658402856, 471859945544]
[309658484776, 471859945544]
[309658566696, 471859945544]
[309658763288, 471859945544]
[309659455512, 471859945544]
[309659607064, 471859945544]
[309659615256, 471859945544]
[314572836872, 471859945544]
[314572857352, 471859945544]
[314572927104, 471859945544]
[314572939304, 471859945544]
[314572951576, 471859945544]
[314572959768, 471859945544]
[314573025408, 471859945544]
[314573119664, 471859945544]
[314573304032, 471859945544]
[314573385752, 471859945544]
[314573414504, 471859945544]
[314573459496, 471859945544]
[314573512808, 471859945544]
[314573627568, 471859945544]
[314573635760, 471859945544]
[314573647976, 471859945544]
[314573660336, 471859945544]
[314573672672, 471859945544]
[314573688936, 471859945544]
[314573725872, 471859945544]
[314573746176, 471859945544]
[314573820032, 471859945544]
[314573848704, 471859945544]
[314573938816, 471859945544]
[314573959416, 471859945544]
[314574012592, 471859945544]
[314574020736, 471859945544]
[314574102704, 471859945544]
[314574254184, 471859945544]
[314574336024, 471859945544]
[314574569496, 471859945544]
[314574577688, 471859945544]
[314574626840, 471859945544]
[314574647424, 471859945544]
[319488069880, 471859945544]
[319488098328, 471859945544]
[319488102440, 471859945544]
[319488106536, 471859945544]
[319488208904, 471859945544]
[319488249896, 471859945544]
[319488405744, 471859945544]
[319488466952, 471859945544]
[319488508152, 471859945544]
[319488561376, 471859945544]
[319488590064, 471859945544]
[319488618736, 471859945544]
[319488651288, 471859945544]
[319488733312, 471859945544]
[319488733408, 471859945544]
[319488844000, 471859945544]
[319488876568, 471859945544]
[319488962784, 471859945544]
[319488999648, 471859945544]
[319489073376, 471859945544]
[319489196032, 471859945544]
[319489220632, 471859945544]
[319489323048, 471859945544]
[319489335520, 471859945544]
[319489376280, 471859945544]
[319489429504, 471859945544]
[319489572904, 471859945544]
[319489658904, 471859945544]
[319489691872, 471859945544]
[319489786080, 471859945544]
[319489830952, 471859945544]
[319489843224, 471859945544]
[319489896472, 471859945544]
[319489916968, 471859945544]
[324403224824, 471859945544]
[324403286136, 471859945544]
[324403306624, 471859945544]
[324403339384, 471859945544]
[324403376248, 471859945544]
[324403458272, 471859945544]
[324403580968, 471859945544]
[324403658760, 471859945544]
[324403695624, 471859945544]
[324403736800, 471859945544]
[324403740792, 471859945544]
[324403933304, 471859945544]
[324403957760, 471859945544]
[324403998744, 471859945544]
[324404002816, 471859945544]
[324404109536, 471859945544]
[324404195352, 471859945544]
[324404232320, 471859945544]
[324404256768, 471859945544]
[324404318432, 471859945544]
[324404363288, 471859945544]
