,Address,Name Tag,Balance,Txn Count
0,540c428d67b6038c7e6199a02605cbb3b6626384,Azbit: Azbit 2,21.01604592 BNB,101
1,01c952174c24e1210d26961d456a77a39e1f0bb0,Binance Hot Wallet 10,"252,357.80022784 BNB",2325609
2,631fc1ea2270e98fbd9d92658ece0f5a269aa161,Binance: Hot Wallet,8.33074503 BNB,10642413
3,eb2d2f1b8c558a40207669291fda468e50c8a0bb,Binance: Hot Wallet 10,"233,033.68062727 BNB",8587159
4,161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,Binance: Hot Wallet 11,"245,244.98125726 BNB",4144967
5,515b72ed8a97f42c568d6a143232775018f133c8,Binance: Hot Wallet 12,"250,919.60510175 BNB",4403778
6,bd612a3f30dca67bf60a39fd0d35e39b7ab80774,Binance: Hot Wallet 13,"247,076.6827179 BNB",4231992
7,7a8a34db9acd10c3b6277473b192fe47192569ca,Binance: Hot Wallet 14,2.07118884 BNB,282003
8,a180fe01b906a1be37be6c534a3300785b20d947,Binance: Hot Wallet 16,"218,365.09903872 BNB",8922785
9,29bdfbf7d27462a2d115748ace2bd71a2646946c,Binance: Hot Wallet 17,"216,872.69867712 BNB",2443450
10,73f5ebe90f27b46ea12e5795d16c4b408b19cc6f,Binance: Hot Wallet 18,"205,333.53851311 BNB",2287666
11,1fbe2acee135d991592f167ac371f3dd893a508b,Binance: Hot Wallet 19,"229,712.86365559 BNB",2376368
12,b1256d6b31e4ae87da1d56e5890c66be7f1c038e,Binance: Hot Wallet 2,5.6953737 BNB,5395317
13,f977814e90da44bfa03b6295a0616a897441acec,Binance: Hot Wallet 20,"7,114,733.45459395 BNB",4861
14,17b692ae403a8ff3a3b2ed7676cf194310dde9af,Binance: Hot Wallet 3,2.96350866 BNB,985862
15,8ff804cc2143451f454779a40de386f913dcff20,Binance: Hot Wallet 4,1.59896992 BNB,785047
16,ad9ffffd4573b642959d3b854027735579555cbc,Binance: Hot Wallet 5,3.45356336 BNB,823009
17,8894e0a0c962cb723c1976a4421c95949be2d4e3,Binance: Hot Wallet 6,"553,889.89657619 BNB",18987846
18,e2fc31f816a9b94326492132018c3aecc4a93ae1,Binance: Hot Wallet 7,"195,892.54287084 BNB",14962680
19,3c783c21a0383057d128bae431894a5c19f9cf06,Binance: Hot Wallet 8,"250,104.88757178 BNB",6718520
20,dccf3b77da55107280bd850ea519df3705d1a75a,Binance: Hot Wallet 9,"218,896.85890046 BNB",6580178
21,c92afb747c0d6c54cfa414c4435360fd8427b635,BitDiamond: IndoEx Exchange,0 BNB,0
22,73f7edc2c4e3dbb0728184e1ef565d3e05efbc05,BitKeep: NFT Exchange,0 BNB,158611
23,8c128dba2cb66399341aa877315be1054be75da8,Bitmart: Wallet,5.12968502 BNB,814442
24,328130164d0f2b9d7a52edc73b3632e713ff0ec6,Bitmart: Wallet 2,13.95081612 BNB,665990
25,660e3bd3bcda11538fa331282666f1d001b87a42,CoinDCX 1,144.8927978 BNB,345
26,8c7efd5b04331efc618e8006f19019a3dc88973e,CoinDCX 2,"2,807.73901 BNB",3
27,f379fcd9c996d85de025985ba9b1c9c96daa4a72,CoinDCX 3,0 BNB,4569
28,a1813f73448a7392e6f069299c23120aeeab879a,CoinField,2.10806992 BNB,131
29,4727250679294802377dd6ca6541b8e459077c95,FixedFloat: Hot Wallet,442.17615533 BNB,509216
30,0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,"14,038.67033103 BNB",3435274
31,efdca55e4bce6c1d535cb2d0687b5567eef2ae83,Huobi 1,517.65934842 BNB,985663
32,53f78a071d04224b8e254e243fffc6d9f2f3fa23,Kucoin: Hot Wallet 2,121.23595857 BNB,845203
33,1349907c197731c5ed98d8442309a15107cb6bad,MaskEX 1,0.48415987 BNB,1780
34,c6acb77befebff0359cc581973859eee8cbaeda1,MaskEX 10,0.6407902 BNB,1919
35,d666ad8d95903bce9b4dcd2cacde5145e36405c2,MaskEX 11,0.40893759 BNB,2130
36,d7aed730a7c4cf8dfe313b16712af3406f6dca5b,MaskEX 12,20.64180313 BNB,3408
37,2161217d22fac0188775432f8ba32f1d4272dd19,MaskEX 2,0.04191942 BNB,327
38,3dd878a95dcaef2800cd57bb065b5e8f2f438131,MaskEX 3,35.20213713 BNB,4308
39,46c75fc52e0263946f8f1a75a95c23a767d2f26e,MaskEX 4,0.12696483 BNB,6309
40,6e2673095545280f6f10e22eb861a555c6e94bec,MaskEX 5,1.1415308 BNB,6621
41,84457412efe8b3a05583cb496e1d2c03e6f36155,MaskEX 6,1.84218704 BNB,282
42,8458c828d602230e92eb0aac5a6aed5580011b6a,MaskEX 7,2.42984254 BNB,89
43,a310b3eeca53b9c115af529faf92bb5ca4b41494,MaskEX 8,2.61919993 BNB,2074
44,a4e71851a8c8eaefeb20a994159f4a443e46059b,MaskEX 9,0.22975363 BNB,356
45,4982085c9e2f89f2ecb8131eca71afad896e89cb,mexc.com,"2,418.99194916 BNB",5843453
46,0211f3cedbef3143223d3acf0e589747933e8527,mexc.com 2,0.56843658 BNB,11186
47,2e8f79ad740de90dc5f5a9f0d8d9661a60725e64,Mexc.com 3,829.81165701 BNB,86823
0,1,4691937a7508860f876c9c0a2a617e7d9e945d4b,Wootrade Network (WOO),"$323,951,557.00",11916,
1,2,8e17ed70334c87ece574c9d537bc153d8609e2a3,wazirx token (WRX),"$76,234,739.00",9209,
2,3,9f589e3eabe42ebc94a44727b3f3531c0c877809,Tokocrypto Token (TKO),"$26,115,036.00",53902,
3,4,07e551e31a793e20dc18494ff6b03095a8f8ee36,Qmall Token (QMALL),"$15,533,715.00",5978,
4,5,04baf95fd4c52fd09a56d840baee0ab8d7357bf0,BigONE Token (ONE),"$6,583,397.00",4364,
5,6,7849ed1447250d0b896f89b58f3075b127ca29b3,TOKPIE (TKP),"$5,551,829.00",405,
6,7,414f9e74ba3a9d0acce65182809492f41ac671e0,Jarvis Reward Token (Wormhole) (JRT),"$4,814,175.00",274,
7,8,4e840aadd28da189b9906674b4afcb77c128d9ea,Hotbit Token (HTB),"$3,192,834.00",2907,
8,9,f98b660adf2ed7d9d9d9daacc2fb0cace4f21835,Symbiosis (SIS),"$3,090,822.00",3456,
9,10,b0c4080a8Fa7afa11a09473f3be14d44AF3f8743,Stobox Token v.2 (STBU),"$2,134,759.00",401,
10,11,317eb4ad9cfac6232f0046831322e895507bcbeb,Tidex Token (TDX),"$1,001,411.00",4465,
11,12,824a50df33ac1b41afc52f4194e2e8356c17c3ac,KickToken (KICK),"$884,071.00",6454,
12,13,816e9e589f8c07149da4e2496c547952338b27e2,BITTO (bBITTO),"$123,238.00",98,
13,14,802a183ac9f6b082716dfee55432ed0c04acb49a,Dopple Exchange Token (DOPX),$70.00,6455,
14,15,a79dac628C5e5F86F5e8d15e8421b5558543B59D,Pig Punk ($Punk),$0.00,131,
15,16,30Fba3037ab7DD1A04297DA847c2C768222477A8,HaggleX (HAG),$0.00,-,
16,17,9d86f16a4fe1cc43a6db44ec993e8dfe568ce985,Liontrader (LINO),$0.00,7145,
17,18,3fc9e1df4e9c5fd46196191c80fe8f8460fb08f8,TheZMoney (TheZ),$0.00,16,
18,19,8Cb63Bb97fDa239B2AfCFf9Ce3d82eC23f66e820,Galactic Coin (GLXT),$0.00,4350,
19,20,c19f66af5d06504e4193fd9486d3b65b0c320d14,RoboCoin Exchange (RCX),$0.00,298,
20,21,26Feffc4C51C3E8101A18BF1926823D1E8932D43,HoneyBar Token (HONEY),$0.00,85,
21,22,a43d3e03d001492eb586db0990cb90d0c3bbe511,Coinlocally Coin (CLYC),$0.00,1,
22,23,8e87db40c5e9335a8fe19333ffc19ad95c665f60,DOOiT (DOO),$0.00,4452,
23,24,52a94d7a06509207d09b5227a440acd7d369cbf6,BEGINX (BGX),$0.00,8,
24,25,06082951efdb5095e45e3c08cb103782645a2e69,Wateenswap (WTN),$0.00,2578,
25,26,833b5Cb9A2Cffb1587BbefE53A451D0989FBA714,TokenBank.Exchange (TBANK),$0.00,2155,
26,27,08668377389ff950c5408cc33e16914b21a949e4,TheZMoney (ZMoney),$0.00,8,
27,28,0031ed3b4Fd84A31357D75E8d64a01BE0D8a5Ebc,BitPump (BTP),$0.00,558,
28,29,994635588cada02f7c795c8848d255eefb31ad02,Aura Token (AURA),$0.00,85,
29,30,722327604be7cf1b3d9b111a87605c56512112c3,S39 Token (S39),$0.00,12611,
30,31,e49d8758d9df1b91ec5a48b37675d08e664d9df0,UNIVERSE CRYPTO CASH (UCC),$0.00,538,
31,32,5a16e8ce8ca316407c6e6307095dc9540a8d62b3,Bitrue Token (BTR),$0.00,2396,
32,33,f9114498b7f38f3337D6295a3a0f3edF8da71326,DEXO (DEXO),$0.00,1395,
33,34,1840efa31d2e26dc8af5502efa5124da450995f1,Sekopay Coin (SEKO),$0.00,291,
34,35,9fbcBad81D73C9EE6cB0953CaE3766AecE86b8F3,Polkametaverse (POKA),$0.00,406,
35,36,6f54453528f2859c4e5df5e209f6bcce66a8593b,Wak Classic (WAK),$0.00,1497,
36,37,5Dc2085Fe510Bbaaba2119d71B09c25098caCa3F,RYIU Token (RYIU),$0.00,1942,
37,38,78F5d389F5CDCcFc41594aBaB4B0Ed02F31398b3,ApolloX Token (APX),$0.00,28573,
38,39,93a72Ce957adAf60c74A5C7815ce7B3d0a7e6b48,DOOiT V2 (DOO),$0.00,893,
39,40,256d1fce1b1221e8398f65f9b36033ce50b2d497,Alvey Chain (wALV),$0.00,19172,
40,41,d21a1f1fcec9479d38b570a2eca3277b1b2a959a,MALGO (MGXG),$0.00,1191,
41,42,f29480344d8e21efeab7fde39f8d8299056a7fea,TBCC v2 (TBCC),$0.00,226654,
42,43,800d2fc288e6a72b92b0692ef520afb0d4c7f63c,Statistics (STCS),$0.00,701,
43,44,0Bbe4eBC8A16C759eA82D0950f29Aad3E3F10070,Gabur (GBR),$0.00,1336,
44,45,9369fa5d12e68addd384f0753eb5dcc0c8d085ea,DaiVat (DAVT),$0.00,29,
45,46,ff44967f2e4ebe0b8c5b6812f25e1b9bcec70b34,Zedxion (Zedxion),$0.00,12,
46,47,25a0a77316c0750d803a85d337f97e74934a64c4,Eukex Coin (EUK),$0.00,14,
47,48,963556de0eb8138e97a85f0a86ee0acd159d210b,MELEGA (MARCO),$0.00,4858,
